domain	intent	parallel	pattern 	 o
Translate	DetectLanguage	False	w jakim to języku i want to rent a car 	 o o o o b-text i-text i-text i-text i-text i-text
Translate	DetectLanguage	False	jaki to język adiós 	 o o o b-text
Translate	DetectLanguage	False	co to za język sausage 	 o o o o b-text
Translate	DetectLanguage	False	wykryj w jakim to języku julio 	 o o o o o b-text
Translate	DetectLanguage	False	wykryj jaki to język i need postage stamps 	 o o o o b-text i-text i-text i-text
Translate	DetectLanguage	False	powiedz jaki to język today 	 o o o o b-text
Translate	DetectLanguage	False	powiedz co to za język lunch 	 o o o o o b-text
Translate	DetectLanguage	False	powiedz mi w jakim to języku mille 	 o o o o o o b-text
Translate	DetectLanguage	False	powiedz mi jaki to język je ne suis pas intéressé 	 o o o o o b-text i-text i-text i-text i-text
Translate	DetectLanguage	False	powiedz mi co to za język le quattordici 	 o o o o o o b-text i-text
